saliency_x,saliency_y,Vx,Vy
1,1,0.0,0.0
1,1,1.0,2.0
1,1,1.0,2.0
1,1,1.0,2.0
1,2,1.0,2.0
2,2,1.0,2.0
2,2,1.0,2.0
2,2,1.0,2.0
2,3,1.0,2.0
2,3,1.0,2.0
2,3,1.0,2.0
2,3,1.0,2.0
2,4,1.0,2.0
3,4,1.0,2.0
3,4,1.0,2.0
3,4,1.0,2.0
3,5,1.0,2.0
3,5,1.0,2.0
3,5,1.0,2.0
3,5,1.0,2.0
3,6,1.0,2.0
4,6,1.0,2.0
4,6,1.0,2.0
4,6,1.0,2.0
4,7,1.0,2.0
4,7,1.0,2.0
4,7,1.0,2.0
4,7,1.0,2.0
4,8,1.0,0.0
5,8,1.0,0.0
5,8,0.0,0.0
5,8,1.0,0.0
5,8,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
