saliency_x,saliency_y,Vx,Vy
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,4,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,4,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,4,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
1,4,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,3,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
1,3,0.0,0.0
1,1,0.0,0.0
1,3,0.0,0.0
1,1,0.0,0.0
1,4,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
5,7,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
1,3,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,3,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,5,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,3,0.0,0.0
1,7,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,4,0.0,0.0
2,8,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,3,0.0,0.0
1,6,0.0,0.0
1,1,0.0,0.0
6,4,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
3,4,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
3,4,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
5,4,0.0,0.0
1,1,0.0,0.0
8,8,-1.83333333333,-0.666666666667
8,8,-3.05128205128,-0.564102564103
7,8,-1.62962962963,-1.66666666667
7,8,-1.56267806268,-2.33333333333
6,8,-0.207692307692,-2.50769230769
6,8,-0.797570850202,-1.9028340081
6,7,-2.95512820513,-0.804487179487
5,7,-0.737931034483,-1.80344827586
5,7,-0.410456062291,-2.57397107898
4,7,-0.482456140351,-2.2850877193
4,7,-1.23333333333,-1.48333333333
4,6,-1.53349875931,-1.8635235732
4,6,-1.02419354839,-2.24865591398
3,6,-0.516666666667,-2.21666666667
3,6,-1.16111111111,-1.70555555556
4,5,-0.564102564103,-2.11111111111
3,5,-0.515555555556,-1.96222222222
3,5,-0.671578947368,-1.44421052632
3,5,-0.968421052632,-1.24912280702
3,4,-1.85714285714,0.0
3,4,-0.695488721805,-1.26315789474
2,4,-0.236842105263,-2.0
2,4,0.357142857143,-1.85714285714
2,3,2.08823529412,-0.764705882353
2,3,0.491764705882,-1.83529411765
2,3,0.32,-2.0
3,3,0.190476190476,-2.04761904762
2,2,1.88888888889,-0.982222222222
2,2,0.740740740741,-1.98074074074
3,2,-0.109523809524,-1.91428571429
3,2,0.287784679089,-1.85093167702
3,1,2.41176470588,-0.823529411765
3,1,0.426944971537,-2.24098671727
3,1,1.19975186104,-1.7047146402
4,1,-0.458333333333,-2.08333333333
4,1,0.886904761905,-1.4880952381
5,1,-2.58333333333,-0.416666666667
6,1,0.0,0.0
6,1,0.0,0.0
1,2,0.0,0.0
1,2,0.0,0.0
1,2,0.0,0.0
1,4,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
1,4,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
1,4,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,2,0.0,0.0
1,5,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,3,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,5,0.0,0.0
1,2,0.0,0.0
1,5,0.0,0.0
1,4,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
1,3,0.0,0.0
1,3,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
1,3,0.0,0.0
1,1,0.0,0.0
1,8,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
1,3,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
1,3,0.0,0.0
1,6,0.0,0.0
1,5,0.0,0.0
2,7,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,8,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
2,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
2,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,2,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,4,0.0,0.0
1,1,0.0,0.0
